	Latitude	Longitude	Timestamp
0	-7.4440	-126.5424	1572980855
1	-8.9594	-125.4367	1572980885
2	-10.4708	-124.3206	1572980915
3	-12.0020	-123.1736	1572980946
4	-13.5025	-122.0313	1572980976
5	-14.9965	-120.8729	1572981006
6	-16.4831	-119.6965	1572981036
7	-17.9615	-118.5001	1572981066
8	-19.4551	-117.2609	1572981097
9	-20.9138	-116.0175	1572981127
10	-22.3613	-114.7473	1572981157
11	-23.7966	-113.4479	1572981187
12	-25.2419	-112.0944	1572981217
13	-26.6486	-110.7286	1572981247
14	-28.0393	-109.3257	1572981278
15	-29.4126	-107.8832	1572981308
16	-30.7670	-106.3978	1572981338
17	-32.1229	-104.8409	1572981368
18	-33.4340	-103.2605	1572981398
19	-34.7208	-101.6284	1572981428
20	-35.9815	-99.9412	1572981458
21	-37.2343	-98.1662	1572981489
22	-38.4358	-96.3584	1572981519
23	-39.6042	-94.4863	1572981549
24	-40.7372	-92.5466	1572981579
25	-41.8321	-90.5365	1572981609
26	-42.9031	-88.4184	1572981640
27	-43.9120	-86.2594	1572981670
28	-44.8739	-84.0233	1572981700
29	-49.8447	-67.1002	1572981901
30	-50.3337	-64.2968	1572981931
31	-50.7475	-61.4372	1572981961
32	-51.0887	-58.4808	1572981992
33	-51.3439	-55.5330	1572982022
34	-51.5179	-52.5570	1572982052
35	-51.6094	-49.5624	1572982082
36	-51.6179	-46.5609	1572982112
37	-51.5413	-43.5149	1572982143
38	-51.3828	-40.5350	1572982173
39	-51.1428	-37.5819	1572982203
40	-50.8227	-34.6659	1572982233
41	-50.4174	-31.7491	1572982264
42	-25.9806	15.8695	1572982968
43	-24.5686	17.2168	1572982998
44	-23.1425	18.5311	1572983028
45	-21.7035	19.8149	1572983058
46	-20.2284	21.0914	1572983089
47	51.2718	111.7280	1572984799
48	51.4718	114.7008	1572984829
49	51.5896	117.6947	1572984859
50	51.6242	120.6993	1572984889
51	51.5754	123.7032	1572984919
52	51.4407	126.7443	1572984950
53	51.2253	129.7118	1572984980
54	50.9292	132.6452	1572985010
55	50.5542	135.5348	1572985040
56	50.1025	138.3718	1572985070
57	49.5674	141.1950	1572985100
58	48.9696	143.9050	1572985130
59	48.3036	146.5447	1572985161
60	47.5731	149.1097	1572985191
61	45.5764	154.9488	1572985263
62	44.6358	157.2854	1572985293
63	43.6604	159.5050	1572985324
64	42.6386	161.6477	1572985354
65	41.5735	163.7156	1572985384
66	40.4492	165.7437	1572985414
67	39.3054	167.6680	1572985444
68	38.1268	169.5256	1572985474
69	36.9156	171.3195	1572985504
70	35.6745	173.0525	1572985535
71	34.3844	174.7553	1572985565
72	33.0897	176.3752	1572985595
73	31.7712	177.9440	1572985625
74	30.4310	179.4648	1572985655
75	29.0478	-179.0353	1572985686
76	27.6684	-177.6021	1572985716
77	26.2719	-176.2081	1572985746
78	24.8600	-174.8506	1572985776
79	23.4335	-173.5266	1572985806
80	21.9698	-172.2125	1572985837
81	20.5180	-170.9487	1572985867
82	19.0555	-169.7113	1572985897
83	17.5829	-168.4977	1572985927
84	16.0769	-167.2863	1572985958
85	14.5875	-166.1145	1572985988
86	13.0911	-164.9602	1572986018
87	-5.4684	-151.5572	1572986385
88	-6.9880	-150.4622	1572986415
89	-8.5298	-149.3408	1572986446
90	-10.0423	-148.2278	1572986476
91	-11.5500	-147.1034	1572986506
92	-50.4153	-87.3657	1572987506
93	-50.8151	-84.4964	1572987536
94	-51.1368	-81.5810	1572987566
95	-51.3819	-78.5785	1572987597
96	-51.5408	-75.5982	1572987627
97	-51.6172	-72.6019	1572987657
98	-51.6104	-69.6010	1572987687
99	-51.5206	-66.6067	1572987717
100	-51.3449	-63.5807	1572987748
101	-51.0901	-60.6338	1572987778
102	-50.7555	-57.7256	1572987808
103	-50.3435	-54.8656	1572987838
104	-49.8475	-52.0153	1572987869
105	-17.2714	-0.0422	1572988719
106	-15.7914	1.1425	1572988749
107	-14.3034	2.3084	1572988779
108	-12.8086	3.4571	1572988809
109	-11.2826	4.6097	1572988840
110	-9.7762	5.7301	1572988870
111	17.0625	25.3778	1572989404
112	18.5360	26.5815	1572989434
113	20.0001	27.8082	1572989464
114	21.4778	29.0814	1572989494
115	22.9197	30.3617	1572989524
116	50.8553	109.6798	1572990586
117	50.4637	112.5587	1572990616
118	49.9959	115.3834	1572990646
119	49.4548	118.1469	1572990676
120	48.8323	120.8881	1572990706
121	48.1523	123.5116	1572990737
122	47.4085	126.0599	1572990767
123	46.6042	128.5308	1572990797
124	45.7427	130.9232	1572990827
125	44.8119	133.2744	1572990857
126	43.8457	135.5082	1572990887
127	42.8324	137.6650	1572990917
128	41.7751	139.7466	1572990948
129	40.6582	141.7882	1572990978
130	39.5213	143.7253	1572991008
131	38.3491	145.5948	1572991038
132	37.1440	147.4000	1572991068
133	35.8878	149.1723	1572991099
134	34.6237	150.8571	1572991129
135	33.3331	152.4876	1572991159
136	32.0189	154.0658	1572991189
137	30.6825	155.5953	1572991219
138	22.8637	163.4007	1572991388
139	21.4196	164.6816	1572991418
140	19.9637	165.9350	1572991448
141	18.4974	167.1629	1572991478
142	16.9969	168.3877	1572991508
143	-40.5627	-140.0329	1572992714
144	-41.6816	-138.0003	1572992744
145	-42.7413	-135.9277	1572992774
146	-43.7574	-133.7804	1572992804
147	-44.7271	-131.5558	1572992834
148	-45.2274	-83.1294	1572999197
