	Latitude	Longitude	Timestamp
0	-50.5749	31.6632	1572959669
1	-50.9454	34.5505	1572959699
2	-51.2414	37.5309	1572959730
3	-51.4512	40.4955	1572959760
4	-51.5790	43.4830	1572959790
5	-51.6240	46.5322	1572959820
6	-51.5845	49.5316	1572959850
7	-51.4622	52.5196	1572959880
8	-51.2579	55.4856	1572959911
9	-50.9728	58.4188	1572959941
10	-50.6021	61.3574	1572959971
11	-50.1602	64.1957	1572960001
12	-49.6443	66.9753	1572960031
13	-49.0572	69.6898	1572960061
14	-48.4019	72.3343	1572960091
15	-47.6694	74.9467	1572960122
16	-46.8870	77.4391	1572960152
17	-46.0466	79.8534	1572960182
18	-45.1516	82.1890	1572960212
19	-44.2053	84.4464	1572960242
20	-43.2111	86.6264	1572960272
21	-42.1543	88.7652	1572960303
22	-41.0726	90.7949	1572960333
23	-39.9521	92.7534	1572960363
24	-38.7952	94.6439	1572960393
25	-37.6049	96.4688	1572960423
26	-36.3628	98.2604	1572960454
27	-35.1121	99.9629	1572960484
28	-33.8345	101.6097	1572960514
29	-32.5325	103.2036	1572960544
30	-31.2076	104.7479	1572960574
31	-29.8390	106.2704	1572960605
32	-28.4733	107.7240	1572960635
33	-27.0900	109.1368	1572960665
34	-25.6666	110.5347	1572960696
35	-24.2514	111.8743	1572960726
36	-22.8226	113.1813	1572960756
37	-21.3811	114.4584	1572960786
38	-19.9038	115.7288	1572960816
39	-18.4402	116.9529	1572960846
40	-16.9673	118.1541	1572960876
41	-15.4610	119.3542	1572960907
42	-13.9718	120.5158	1572960937
43	-12.4758	121.6609	1572960967
44	-10.9489	122.8100	1572960998
45	-9.4417	123.9276	1572961028
46	-7.9301	125.0343	1572961058
47	-6.3897	126.1502	1572961089
48	-4.8716	127.2405	1572961119
49	-3.3260	128.3434	1572961149
50	-1.8041	129.4244	1572961179
51	-0.2560	130.5215	1572961210
52	1.2668	131.6003	1572961240
53	2.7892	132.6806	1572961270
54	4.3104	133.7640	1572961300
55	5.8549	134.8705	1572961331
56	7.3715	135.9655	1572961361
57	8.8849	137.0690	1572961391
58	10.3942	138.1827	1572961421
59	11.8987	139.3085	1572961451
60	13.4227	140.4674	1572961481
61	14.9152	141.6233	1572961512
62	16.4006	142.7972	1572961542
63	17.9024	144.0112	1572961572
64	19.3704	145.2275	1572961602
65	20.8284	146.4682	1572961632
66	22.2753	147.7355	1572961662
67	23.7103	149.0321	1572961693
68	25.1555	150.3825	1572961723
69	26.5623	151.7453	1572961753
70	27.9534	153.1451	1572961783
71	29.5317	154.8039	1572961818
72	30.8837	156.2924	1572961848
73	32.2372	157.8529	1572961878
74	33.5459	159.4373	1572961909
75	34.8304	161.0738	1572961939
76	36.0888	162.7659	1572961969
77	37.3188	164.5166	1572961999
78	38.5379	166.3596	1572962029
79	39.7036	168.2379	1572962059
80	40.8336	170.1841	1572962090
81	41.9254	172.2011	1572962120
82	42.9758	174.2912	1572962150
83	43.9821	176.4570	1572962180
84	44.9564	178.7377	1572962210
85	45.9952	-178.5846	1572962245
86	46.8401	-176.1713	1572962275
87	47.6397	-173.6372	1572962306
88	48.3642	-171.0671	1572962336
89	49.0239	-168.4229	1572962366
