	Latitude	Longitude	Timestamp
0	27.0716	-24.1535	1573173409
1	28.4564	-22.7396	1573173439
2	29.8462	-21.2601	1573173470
3	31.1935	-19.7612	1573173500
4	32.5199	-18.2155	1573173530
5	33.8235	-16.6201	1573173560
6	35.1235	-14.9439	1573173590
7	36.3754	-13.2385	1573173620
8	37.5983	-11.4739	1573173651
9	38.7899	-9.6471	1573173681
10	39.9670	-7.7225	1573173711
11	41.0883	-5.7601	1573173741
12	42.1706	-3.7266	1573173771
13	43.2108	-1.6195	1573173801
14	44.2223	0.6006	1573173832
15	45.1686	2.8624	1573173862
16	46.0635	5.2026	1573173892
17	46.9171	7.6629	1573173923
18	47.6979	10.1612	1573173953
19	48.4285	12.7800	1573173983
20	49.0814	15.4303	1573174013
21	49.6661	18.1511	1573174044
22	50.2030	21.0773	1573174075
23	50.6380	23.9242	1573174105
24	50.9961	26.8220	1573174135
25	51.2788	29.8104	1573174166
26	51.4752	32.7820	1573174196
27	51.5893	35.7754	1573174226
28	51.6204	38.7783	1573174256
29	51.5666	41.8300	1573174287
30	51.4301	44.8186	1573174317
31	51.2116	47.7829	1573174347
32	50.9125	50.7129	1573174377
33	50.5346	53.5986	1573174407
34	50.0721	56.4784	1573174438
35	49.5428	59.2506	1573174468
36	48.9320	62.0012	1573174498
37	48.2629	64.6352	1573174528
38	47.5168	67.2363	1573174559
39	46.7215	69.7173	1573174589
40	45.8687	72.1194	1573174619
41	44.9617	74.4431	1573174649
42	43.9877	76.7250	1573174680
43	42.9817	78.8918	1573174710
44	41.9314	80.9830	1573174740
45	40.8396	83.0013	1573174770
46	39.6904	84.9806	1573174800
47	38.5238	86.8592	1573174831
48	37.3243	88.6727	1573174861
49	36.0733	90.4530	1573174891
50	34.8143	92.1452	1573174921
51	33.5290	93.7819	1573174951
52	32.2195	95.3666	1573174981
53	30.8874	96.9023	1573175012
54	29.5119	98.4165	1573175042
55	28.1397	99.8626	1573175072
56	26.7499	101.2688	1573175102
57	25.3441	102.6376	1573175132
58	23.8998	103.9937	1573175163
59	22.4657	105.2954	1573175193
60	21.0191	106.5677	1573175223
61	19.5613	107.8131	1573175253
62	18.0688	109.0539	1573175284
63	16.5914	110.2517	1573175314
64	15.1058	111.4292	1573175344
65	13.6130	112.5885	1573175374
66	12.0885	113.7506	1573175405
67	10.5831	114.8794	1573175435
68	9.0729	115.9959	1573175465
69	7.5584	117.1020	1573175495
70	6.0153	118.2175	1573175525
71	4.4948	119.3079	1573175555
72	2.9723	120.3932	1573175585
73	1.4483	121.4752	1573175616
74	-0.1015	122.5735	1573175646
75	-1.6257	123.6537	1573175676
76	-3.1494	124.7359	1573175706
77	-4.6717	125.8217	1573175736
78	-6.1917	126.9126	1573175766
79	-7.7342	128.0289	1573175797
80	-9.2477	129.1357	1573175827
81	-10.7571	130.2532	1573175857
82	-12.2614	131.3831	1573175887
83	-13.7847	132.5467	1573175918
84	-15.2765	133.7077	1573175948
85	-16.7609	134.8872	1573175978
86	-18.2368	136.0870	1573176008
87	-19.7277	137.3301	1573176039
88	-21.1835	138.5777	1573176069
89	-22.6281	139.8526	1573176099
90	-24.0602	141.1571	1573176129
91	-25.4786	142.4937	1573176159
92	-26.9053	143.8882	1573176190
93	-28.2922	145.2975	1573176220
94	-29.6616	146.7474	1573176250
95	-31.0120	148.2406	1573176280
96	-32.3632	149.8057	1573176310
97	-33.6694	151.3948	1573176340
98	-34.9511	153.0362	1573176370
99	-36.2063	154.7332	1573176401
100	-37.4532	156.5188	1573176431
101	-38.6483	158.3373	1573176461
102	-39.8102	160.2211	1573176491
103	-40.9361	162.1728	1573176521
104	-42.0234	164.1954	1573176551
105	-43.0862	166.3268	1573176582
106	-44.0868	168.4996	1573176612
107	-45.0396	170.7493	1573176642
108	-45.9413	173.0772	1573176672
109	-46.8023	175.5242	1573176703
110	-47.5911	178.0101	1573176733
111	-48.3302	-179.3840	1573176763
112	-48.9923	-176.7456	1573176794
113	-49.5865	-174.0371	1573176824
114	-50.1097	-171.2628	1573176854
115	-50.5660	-168.3813	1573176884
116	-50.9377	-165.4944	1573176914
117	-51.2306	-162.5646	1573176944
118	-51.4429	-159.6010	1573176975
119	-51.5747	-156.5641	1573177005
120	-51.6209	-153.5653	1573177035
121	-51.5840	-150.5659	1573177065
122	-51.4643	-147.5768	1573177095
123	-51.2624	-144.6096	1573177125
124	-50.9744	-141.6265	1573177156
125	-50.6115	-138.7347	1573177186
126	-50.1719	-135.8939	1573177216
127	-49.6581	-133.1120	1573177246
128	-49.0627	-130.3506	1573177277
129	-48.4083	-127.7051	1573177307
130	-47.6891	-125.1333	1573177337
131	-46.9082	-122.6378	1573177367
132	-46.0549	-120.1810	1573177398
133	-45.1603	-117.8436	1573177428
134	-44.2144	-115.5848	1573177458
135	-43.2034	-113.3672	1573177488
136	-42.1638	-111.2625	1573177518
137	-41.0822	-109.2313	1573177548
138	-39.9617	-107.2712	1573177579
139	-38.7854	-105.3485	1573177609
140	-37.5946	-103.5233	1573177639
141	-36.3726	-101.7604	1573177669
142	-35.1217	-100.0567	1573177699
143	-33.8440	-98.4087	1573177729
144	-32.5199	-96.7876	1573177760
145	-31.1943	-95.2429	1573177790
146	-29.8476	-93.7446	1573177820
147	-28.4817	-92.2902	1573177850
148	-27.0744	-90.8528	1573177881
149	-25.6740	-89.4774	1573177911
150	-24.2586	-88.1372	1573177941
151	-22.8292	-86.8292	1573177971
152	-21.3632	-85.5302	1573178002
153	-19.9096	-84.2802	1573178032
154	-18.4456	-83.0554	1573178062
155	-16.9722	-81.8535	1573178092
156	-15.4653	-80.6527	1573178122
157	-13.9757	-79.4905	1573178153
158	-12.4793	-78.3449	1573178183
159	-10.9769	-77.2139	1573178213
160	-9.4694	-76.0956	1573178243
161	-7.9323	-74.9699	1573178273
162	-6.4166	-73.8717	1573178303
163	-4.8980	-72.7807	1573178333
164	-3.3771	-71.6951	1573178364
165	-1.8295	-70.5955	1573178394
166	-0.3062	-69.5158	1573178424
167	1.2679	-68.4006	1573178455
168	2.8161	-67.3018	1573178486
169	4.3376	-66.2178	1573178516
170	5.8825	-65.1108	1573178547
171	7.3995	-64.0152	1573178577
172	8.9132	-62.9110	1573178607
173	10.4227	-61.7968	1573178637
174	11.9526	-60.6514	1573178667
175	13.4518	-59.5106	1573178697
176	14.9694	-58.3344	1573178728
177	16.4549	-57.1594	1573178758
178	17.9322	-55.9643	1573178788
179	19.4002	-54.7471	1573178818
180	20.8824	-53.4847	1573178849
181	22.3291	-52.2159	1573178879
182	23.7636	-50.9181	1573178909
183	25.1847	-49.5886	1573178939
184	26.5912	-48.2249	1573178969
185	28.0049	-46.8006	1573179000
186	29.3781	-45.3594	1573179030
187	30.7324	-43.8756	1573179060
188	32.0662	-42.3464	1573179090
189	33.3993	-40.7418	1573179121
190	34.6865	-39.1113	1573179151
191	35.9476	-37.4258	1573179181
192	37.1806	-35.6821	1573179211
193	38.4031	-33.8465	1573179241
194	39.5723	-31.9760	1573179271
195	40.7062	-30.0380	1573179301
196	41.8023	-28.0293	1573179332
197	42.8745	-25.9124	1573179362
198	43.8848	-23.7547	1573179392
199	44.8482	-21.5195	1573179422
200	45.7611	-19.2065	1573179452
201	46.6342	-16.7743	1573179483
202	47.4354	-14.3029	1573179513
203	48.1762	-11.7539	1573179543
204	48.8532	-9.1297	1573179573
205	49.4724	-6.3886	1573179604
206	50.0106	-3.6246	1573179634
207	50.4754	-0.8000	1573179664
208	50.8698	2.1267	1573179694
209	51.1788	5.0511	1573179725
210	51.4074	8.0114	1573179755
211	51.5541	10.9972	1573179785
212	51.6184	14.0476	1573179815
213	51.5977	17.0511	1573179845
214	51.4939	20.0460	1573179875
215	51.3077	23.0212	1573179905
216	51.0351	26.0148	1573179936
217	50.6867	28.9184	1573179966
218	50.2611	31.7724	1573179996
219	49.7516	34.6151	1573180027
220	49.1779	37.3465	1573180057
221	48.5353	40.0089	1573180087
222	47.8270	42.5978	1573180117
223	47.0430	45.1518	1573180148
224	46.2126	47.5852	1573180178
225	45.3115	49.9783	1573180208
226	44.3727	52.2530	1573180238
227	43.3852	54.4498	1573180268
228	42.3521	56.5706	1573180298
229	41.2582	58.6508	1573180329
230	40.1425	60.6245	1573180359
231	38.9899	62.5294	1573180389
232	37.7832	64.3982	1573180420
233	36.5644	66.1729	1573180450
234	35.2954	67.9158	1573180480
235	34.0198	69.5732	1573180511
236	32.7191	71.1775	1573180541
237	31.3953	72.7315	1573180571
238	30.0276	74.2630	1573180601
239	28.6624	75.7252	1573180631
240	27.2793	77.1460	1573180661
